VariabelenaamODiN2023	VariabelelabelODiN2023	Niveau	CodeODiN2023	CodelabelODiN2023	Korteomschrijving	G	H	I	J	K	L
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdHalteB"	"Reden B halte bus, tram of metro niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerFam"	"Familie en vrienden, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdFamA"	"Reden A familie en vrienden niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdFamB"	"Reden B familie en vrienden niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerSport"	"Sportlocatie of hobbyvereniging, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdSportA"	"Reden A sportlocatie of hobbyvereniging niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdSportB"	"Reden B sportlocatie of hobbyvereniging niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"Jaar"	"Rapportagejaar "	"P"	""	""	""						
""	""	""	"2023"	""	""						
"Maand"	"Rapportagemaand"	"P"	""	""	""						
""	""	""	"1"	"Januari"	""						
""	""	""	"2"	"Februari"	""						
""	""	""	"3"	"Maart"	""						
""	""	""	"4"	"April"	""						
""	""	""	"5"	"Mei"	""						
""	""	""	"6"	"Juni"	""						
""	""	""	"7"	"Juli"	""						
""	""	""	"8"	"Augustus"	""						
""	""	""	"9"	"September"	""						
""	""	""	"10"	"Oktober"	""						
""	""	""	"11"	"November"	""						
""	""	""	"12"	"December"	""						
"Week"	"Rapportageweek"	"P"	""	""	"Het weeknummer volgens de internationale standaard ISO 8601."						
""	""	""	"1..53"	""	""						
"Dag"	"Rapportagedag"	"P"	""	""	""						
""	""	""	"1..31"	""	""						
"Weekdag"	"Rapportage weekdag"	"P"	""	""	""						
""	""	""	"1"	"Zondag"	""						
""	""	""	"2"	"Maandag"	""						
""	""	""	"3"	"Dinsdag"	""						
""	""	""	"4"	"Woensdag"	""						
""	""	""	"5"	"Donderdag"	""						
""	""	""	"6"	"Vrijdag"	""						
""	""	""	"7"	"Zaterdag"	""						
"Feestdag"	"Rapportagedag is feestdag"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
"Weggeweest"	"OP is weggeweest in Nederland"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"6"	"Serieverplaatsing(en)"	""						
""	""	""	"7"	"Beroepsmatige vrachtwagenverplaatsing(en)"	""						
""	""	""	"8"	"Beroepsmatige serieverplaatsing(en) met vrachtwagen"	""						
"RedenNW"	"Reden niet weggeweest"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft verplaatsing(en)"	""						
""	""	""	"1"	"Ziekte en/of blessure"	""						
""	""	""	"2"	"Lichamelijke beperkingen en/of handicap"	""						
""	""	""	"3"	"Weersomstandigheden"	""						
""	""	""	"4"	"Thuiswerken of beroep aan huis"	""						
""	""	""	"5"	"Studie thuis"	""						
""	""	""	"6"	"Zorg voor gezinsleden"	""						
""	""	""	"7"	"Geen activiteiten buitenshuis"	""						
""	""	""	"8"	"Vervoer was te duur"	""						
""	""	""	"9"	"Geen geschikt vervoer beschikbaar"	""						
""	""	""	"10"	"Verblijf in het buitenland"	""						
""	""	""	"11"	"Andere reden"	""						
""	""	""	"12"	"Onbekend"	""						
"RedenNWZ"	"Niet weggeweest: duur ziekte"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft verplaatsing(en)"	""						
""	""	""	"1"	"1 tot 6 dagen"	""						
""	""	""	"2"	"7 dagen tot 4 weken"	""						
""	""	""	"3"	"Langer dan 4 weken"	""						
""	""	""	"4"	"Onbekend"	""						
""	""	""	"5"	"Niet van toepassing; Andere reden dan ziekte"	""						
"RedenNWW"	"Niet weggeweest: type weer"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft verplaatsing(en)"	""						
""	""	""	"1"	"Kou"	""						
""	""	""	"2"	"Warmte"	""						
""	""	""	"3"	"Regen/hagel/sneeuw "	""						
""	""	""	"4"	"Wind/storm"	""						
""	""	""	"5"	"Gladheid"	""						
""	""	""	"6"	"Mist"	""						
""	""	""	"7"	"Wisselvallig weer"	""						
""	""	""	"8"	"Andere weersomstandigheden"	""						
""	""	""	"9"	"Onbekend"	""						
""	""	""	"10"	"Niet van toepassing; Andere reden dan het weer"	""						
"RedenNWB"	"Niet weggeweest: reden verblijf buitenland"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft verplaatsing(en)"	""						
""	""	""	"1"	"Vrije tijd/vakantie"	""						
""	""	""	"2"	"Werk "	""						
""	""	""	"3"	"Studie"	""						
""	""	""	"4"	"Familiebezoek"	""						
""	""	""	"5"	"Andere reden"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Andere reden dan verblijf buitenland"	""						
"AantVpl"	"Aantal reguliere verplaatsingen OP in Nederland"	"P"	""	""	"Alleen reguliere verplaatsingen (verplaatsingen met Verpl=1) zijn meegeteld. "						
""	""	""	"0"	"OP heeft geen reguliere verplaatsing(en)"	""						
""	""	""	"1..25"	""	""						
"AantOVVpl"	"Aantal reguliere OV-verplaatsingen OP in Nederland"	"P"	""	""	"Alleen reguliere verplaatsingen (verplaatsingen met Verpl=1) zijn meegeteld."						
""	""	""	"0"	"OP heeft geen reguliere OV-verplaatsing(en)"	""						
""	""	""	"1..25"	""	""						
"AantSVpl"	"Aantal serieverplaatsingen zonder beroepsmatig met vrachtwagen OP in Nederland"	"P"	""	""	"Alleen serieverplaatsingen zonder beroepsmatig met vrachtwagen (verplaatsingen met Verpl=6) zijn meegeteld. "						
""	""	""	"0"	"OP heeft geen serieverplaatsing(en) zonder beroepsmatig met vrachtwagen"	""						
""	""	""	"1..25"	""	""						
"EFiets"	"Gebruikte type elektrische fiets"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Elektrische fiets"	""						
""	""	""	"2"	"Speedpedelec"	""						
""	""	""	"3"	"Beide"	""						
""	""	""	"4"	"Onbekend"	""						
""	""	""	"5"	"Niet gevraagd of OP heeft geen elektrische fiets gebruikt"	""						
"AutoEig"	"Auto op eigen naam gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoHhl"	"Auto op naam huishoudlid gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoLWg"	"Leasauto van werkgever gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoLPl"	"Leasauto via private lease gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoBed"	"Auto op naam van een bedrijf gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoDOrg"	"Deelauto van een organisatie gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoDPart"	"Deelauto van particulier via online platform gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoDBek"	"Deelauto met vrienden/bekenden gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoLeen"	"Leenauto of geleende auto gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoHuur"	"Huurauto gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"AutoAnd"	"Andere soort auto gebruikt"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Onbekend "	""						
""	""	""	"4"	"Niet gevraagd"	""						
"ByzDag"	"Bijzonderheden op rapportagedag"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Nee, geen specifieke bijzonderheden"	""						
""	""	""	"3"	"Nee, deze weekdag is altijd anders"	""						
""	""	""	"4"	"Onbekend"	""						
"ByzAdr"	"Bijzonderheid: andere adressen "	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja "	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ByzVvm"	"Bijzonderheid: andere vervoermiddelen"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja "	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ByzTyd"	"Bijzonderheid: andere tijdstippen"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja "	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ByzDuur"	"Bijzonderheid: andere reisduur"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja "	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ByzRoute"	"Bijzonderheid: andere route"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Ja "	""						
""	""	""	"2"	"Nee"	""						
""	""	""	"3"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ByzReden"	"Reden ander reispatroon"	"P"	""	""	""						
""	""	""	"0"	"Niet van toepassing; OP heeft geen verplaatsing(en)"	""						
""	""	""	"1"	"Vrije dag"	""						
""	""	""	"2"	"Ziekte"	""						
""	""	""	"3"	"Verkeer"	""						
""	""	""	"4"	"Afspraken"	""						
""	""	""	"5"	"Ziekte huishoudlid"	""						
""	""	""	"6"	"Samen reizen"	""						
""	""	""	"7"	"Bagage"	""						
""	""	""	"8"	"Weersomstandigheden "	""						
""	""	""	"9"	"Andere reden"	""						
""	""	""	"10"	"Onbekend"	""						
""	""	""	"11"	"Niet gevraagd; geen bijzonderheden aangegeven"	""						
"ReisduurOP"	"Totale reisduur reguliere verplaatsingen OP in Nederland (in minuten) "	"P"	""	""	"Som van de reguliere verplaatsingsduren (verplaatsingen met Verpl=1). "						
""	""	""	"0"	"OP heeft geen reguliere verplaatsing(en)"	""						
""	""	""	"1..9999"	""	""						
"AfstandOP"	"Totaal afgelegde afstand reguliere verplaatsingen OP in Nederland (in hectometers)"	"P"	""	""	"Som van de reguliere verplaatsingsafstanden (verplaatsingen met Verpl=1)."						
""	""	""	"0"	"OP heeft geen reguliere verplaatsing(en)"	""						
""	""	""	"1..9999999"	""	""						
"AfstandSOP"	"Totaal afgelegde afstand serieverplaatsingen OP in Nederland (in hectometers)"	"P"	""	""	"Som van de serieverplaatsingsafstanden zonder beroepsmatig met vrachtwagen (verplaatsingen met Verpl=6)."						
""	""	""	"0"	"OP heeft geen serieverplaatsing(en) zonder beroepsmatig met vrachtwagen"	""						
""	""	""	"1..9999999"	""	""						
"Verpl"	"Nieuwe verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen nieuwe verplaatsing"	""						
""	""	""	"1"	"Nieuwe verplaatsing"	""						
""	""	""	"6"	"Serieverplaatsing"	""						
""	""	""	"7"	"Beroepsmatige vrachtwagenverplaatsing"	""						
""	""	""	"8"	"Beroepsmatige serieverplaatsing met vrachtwagen"	""						
"VerplID"	"Uniek id voor iedere verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"id"	""	""						
"VerplNr"	"Verplaatsingsnummer"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1..25"	""	""						
"Toer"	"Vertrekpunt verplaatsing is aankomstpunt"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
"AantRit"	"Aantal ritten verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"1..15"	""	""						
"Doel"	"Bestemming/Doel"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Naar huis"	""						
""	""	""	"2"	"Werken"	""						
""	""	""	"3"	"Zakelijk bezoek in werksfeer"	""						
""	""	""	"4"	"Beroepsmatig"	""						
""	""	""	"5"	"Afhalen/brengen personen"	""						
""	""	""	"6"	"Afhalen/brengen goederen"	""						
""	""	""	"7"	"Onderwijs/cursus volgen"	""						
""	""	""	"8"	"Winkelen/boodschappen doen"	""						
""	""	""	"9"	"Visite/logeren"	""						
""	""	""	"10"	"Toeren/wandelen"	""						
""	""	""	"11"	"Sport/hobby"	""						
""	""	""	"12"	"Overige vrijetijdsbesteding"	""						
""	""	""	"13"	"Diensten/persoonlijke verzorging"	""						
""	""	""	"14"	"Ander doel"	""						
"MotiefV"	"Motief"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Van en naar het werk"	""						
""	""	""	"2"	"Zakelijk bezoek in werksfeer"	""						
""	""	""	"3"	"Beroepsmatig"	""						
""	""	""	"4"	"Afhalen/brengen personen"	""						
""	""	""	"5"	"Afhalen/brengen goederen"	""						
""	""	""	"6"	"Onderwijs/cursus volgen"	""						
""	""	""	"7"	"Winkelen/boodschappen doen"	""						
""	""	""	"8"	"Visite/logeren"	""						
""	""	""	"9"	"Toeren/wandelen"	""						
""	""	""	"10"	"Sport/hobby"	""						
""	""	""	"11"	"Overige vrijetijdsbesteding"	""						
""	""	""	"12"	"Diensten/persoonlijke verzorging"	""						
""	""	""	"13"	"Ander motief"	""						
"KMotiefV"	"Klassenindeling motief"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Van en naar het werk"	""						
""	""	""	"2"	"Zakelijk en beroepsmatig"	""						
""	""	""	"3"	"Diensten/persoonlijke verzorging"	""						
""	""	""	"4"	"Winkelen/boodschappen doen"	""						
""	""	""	"5"	"Onderwijs/cursus volgen"	""						
""	""	""	"6"	"Visite/logeren"	""						
""	""	""	"7"	"Sociaal recreatief overig"	""						
""	""	""	"8"	"Toeren/wandelen"	""						
""	""	""	"9"	"Ander motief"	""						
"MeerWink"	"Meerdere winkels bezocht"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
""	""	""	"3"	"Niet van toepassing; Geen winkel bezocht"	""						
"AardWerk"	"Aard werkzaamheden"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Bouw"	""						
""	""	""	"2"	"Service"	""						
""	""	""	"3"	"Bezorging"	""						
""	""	""	"4"	"Goederenvervoer"	""						
""	""	""	"5"	"Personenvervoer"	""						
""	""	""	"6"	"Zorg"	""						
""	""	""	"7"	"Hulpverlening"	""						
""	""	""	"8"	"Zakelijk beroep"	""						
""	""	""	"9"	"Ophaaldienst"	""						
""	""	""	"10"	"Ander beroepsmatig werk"	""						
""	""	""	"11"	"Onbekend"	""						
""	""	""	"12"	"Niet van toepassing; geen beroepsmatige (serie)verplaatsing"	""						
"VertLoc"	"Vertreklocatie verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Eigen woonadres"	""						
""	""	""	"2"	"Ander thuisadres"	""						
""	""	""	"3"	"Een werkadres"	""						
""	""	""	"4"	"Ander adres"	""						
"VertGeb"	"Vertrekgebied"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Nederland"	""						
""	""	""	"1..99"	"{zie tabblad VertGeb & AankGeb}"	""						
"VertPC"	"Postcode vertrekpunt"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"0000"	"Vertrekpostcode in Nederland onbekend"	""						
""	""	""	"1000..9999"	""	""						
"VertPCBL"	"Postcode vertrekpunt in het buitenland"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in België of Duitsland"	""						
""	""	""	"1"	"Vertrekpunt in Nederland"	""						
""	""	""	"0000"	"Vertrekpostcode in België onbekend"	""						
""	""	""	"00000"	"Vertrekpostcode in Duitsland onbekend"	""						
""	""	""	"1000..9999"	"Postcode in België"	""						
""	""	""	"01000..99999"	"Postcode in Duitsland"	""						
"VertGem"	"Vertrekgemeente"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"14..1992"	"{zie tabblad Wogem}"	""						
""	""	""	"9999"	"Onbekend"	""						
"VertProv"	"Vertrekprovincie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"1"	"Groningen"	""						
""	""	""	"2"	"Fryslân"	""						
""	""	""	"3"	"Drenthe"	""						
""	""	""	"4"	"Overijssel"	""						
""	""	""	"5"	"Flevoland"	""						
""	""	""	"6"	"Gelderland"	""						
""	""	""	"7"	"Utrecht"	""						
""	""	""	"8"	"Noord-Holland"	""						
""	""	""	"9"	"Zuid-Holland"	""						
""	""	""	"10"	"Zeeland"	""						
""	""	""	"11"	"Noord-Brabant"	""						
""	""	""	"12"	"Limburg"	""						
""	""	""	"99"	"Onbekend"	""						
"VertCorop"	"Coropgebied vertrekpunt "	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"1..40"	"{zie tabblad Corop}"	""						
""	""	""	"99"	"Onbekend"	""						
"VertMRA"	"Metropoolregio Amsterdam vertrekpunt"	"V"	""	""	"Zie tabblad MRA voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"1"	"Stadsdeel Centrum"	""						
""	""	""	"2"	"Stadsdeel Noord"	""						
""	""	""	"3"	"Stadsdeel West (incl. Westpoort)"	""						
""	""	""	"4"	"Stadsdeel Nieuw-West"	""						
""	""	""	"5"	"Stadsdeel Zuid"	""						
""	""	""	"6"	"Stadsdeel Oost"	""						
""	""	""	"7"	"Stadsdeel Zuidoost"	""						
""	""	""	"8"	"Stadsgebied Weesp"	""						
""	""	""	"9"	"Basisregio Waterland"	""						
""	""	""	"10"	"Basisregio Zaanstreek"	""						
""	""	""	"11"	"Basisregio IJmond"	""						
""	""	""	"12"	"Basisregio Zuid-Kennemerland"	""						
""	""	""	"13"	"Basisregio Meerlanden"	""						
""	""	""	"14"	"Basisregio Amstelland"	""						
""	""	""	"15"	"Basisregio Gooi en Vechtstreek"	""						
""	""	""	"16"	"Basisregio Almere + Zeewolde"	""						
""	""	""	"17"	"Basisregio Lelystad + Dronten"	""						
""	""	""	"18"	"Noord-Holland Noord – Regio Alkmaar"	""						
""	""	""	"19"	"Noord-Holland Noord – West-Friesland"	""						
""	""	""	"20"	"Noord-Holland Noord – Kop van Noord-Holland"	""						
""	""	""	"21"	"Urk & Noordoostpolder"	""						
""	""	""	"22"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
